Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 13:03:51],5.4,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:03:53],1.4,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:03:56],0.9,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:03:58],1.1,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:04:01],1.3,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:04:03],1.2,11.4,0,71200,0,69120,0,69120,0,69120,0,69120,0,69120,0,69120,0,68640
[2025-06-28 13:04:06],2.0,11.4,87,71244,85,69160,85,69160,85,69160,85,69160,85,69160,85,69160,86,68680
[2025-06-28 13:04:08],4.7,11.4,87,71244,84,69160,85,69160,85,69160,85,69160,86,69160,85,69160,86,68680
[2025-06-28 13:04:10],4.6,11.5,87,71244,84,69160,84,69160,85,69160,84,69160,85,69160,84,69160,86,68680
[2025-06-28 13:04:12],4.6,11.5,86,71640,80,69556,81,69556,82,69556,81,69556,82,69556,82,69556,83,69076
[2025-06-28 13:04:15],4.3,11.5,86,71640,80,69556,81,69556,82,69556,83,69556,82,69556,82,69556,83,69076
[2025-06-28 13:04:18],4.4,11.5,84,71640,80,69556,81,69556,81,69556,83,69556,82,69556,83,69556,82,69076
[2025-06-28 13:04:21],4.3,11.5,85,71640,82,69556,81,69556,81,69556,80,69556,80,69556,82,69556,82,69076
[2025-06-28 13:04:23],4.3,11.5,84,71640,80,69556,80,69556,81,69556,81,69556,81,69556,83,69556,82,69076
[2025-06-28 13:04:26],4.3,11.5,84,71640,81,69556,80,69556,81,69556,82,69556,81,69556,81,69556,83,69076
[2025-06-28 13:04:29],4.7,11.5,86,71640,80,69556,80,69556,81,69556,82,69556,82,69556,81,69556,82,69076
[2025-06-28 13:04:31],4.4,11.5,85,71640,81,69556,81,69556,82,69556,82,69556,81,69556,82,69556,82,69076
[2025-06-28 13:04:34],4.3,11.5,86,71640,79,69556,81,69556,81,69556,81,69556,84,69556,82,69556,84,69076
[2025-06-28 13:04:38],4.9,11.5,84,71640,80,69556,80,69556,81,69556,81,69556,82,69556,81,69556,83,69076
[2025-06-28 13:04:41],4.4,11.5,86,71640,79,69556,82,69556,82,69556,81,69556,83,69556,82,69556,84,69076
[2025-06-28 13:04:44],4.8,11.5,85,71640,82,69556,83,69556,83,69556,81,69556,82,69556,84,69556,84,69076
[2025-06-28 13:04:47],4.5,11.4,84,71640,82,69556,80,69556,82,69556,81,69556,82,69556,81,69556,82,69076
[2025-06-28 13:04:50],5.0,11.4,86,71640,81,69556,81,69556,81,69556,81,69556,82,69556,81,69556,83,69076
[2025-06-28 13:04:53],4.7,11.5,86,71642,82,69556,83,69556,84,69556,81,69556,82,69556,81,69556,85,69076
[2025-06-28 13:04:56],4.5,11.4,86,71642,81,69556,81,69556,82,69556,82,69556,83,69556,80,69556,82,69076
[2025-06-28 13:04:59],4.6,11.4,87,71642,81,69556,81,69556,81,69556,81,69556,81,69556,81,69556,82,69076
[2025-06-28 13:05:01],5.0,11.5,85,71642,82,69556,82,69556,81,69556,81,69556,81,69556,83,69556,83,69076
[2025-06-28 13:05:04],4.7,11.5,86,71642,81,69556,81,69556,80,69556,82,69556,83,69556,82,69556,82,69076
[2025-06-28 13:05:07],5.4,11.5,86,71642,81,69556,81,69556,81,69556,82,69556,83,69556,81,69556,83,69076
[2025-06-28 13:05:10],4.7,11.5,85,71642,81,69556,81,69556,83,69556,83,69556,83,69556,81,69556,84,69076
[2025-06-28 13:05:12],4.5,11.5,86,71642,81,69556,81,69556,81,69556,82,69556,82,69556,82,69556,83,69076
[2025-06-28 13:05:15],4.4,11.5,85,71642,81,69556,82,69556,81,69556,81,69556,82,69556,82,69556,82,69076
[2025-06-28 13:05:18],4.5,11.5,85,71642,81,69556,81,69556,83,69556,81,69556,80,69556,83,69556,84,69076
[2025-06-28 13:05:21],4.4,11.5,86,71642,81,69556,81,69556,83,69556,82,69556,82,69556,82,69556,82,69076
[2025-06-28 13:05:24],4.4,11.5,86,71642,83,69556,82,69556,84,69556,84,69556,83,69556,82,69556,82,69076
[2025-06-28 13:05:27],4.5,11.5,87,71642,84,69556,82,69556,82,69556,82,69556,81,69556,80,69556,84,69076
[2025-06-28 13:05:31],4.5,11.5,86,71642,82,69556,84,69556,81,69556,81,69556,83,69556,84,69556,85,69076
[2025-06-28 13:05:34],22.2,11.5,87,71642,81,69558,82,69558,82,69558,81,69558,81,69558,82,69558,82,69078
[2025-06-28 13:05:37],4.5,11.5,86,71642,80,69558,81,69558,81,69558,81,69558,83,69558,81,69558,83,69078
[2025-06-28 13:05:40],4.8,11.5,85,71642,81,69558,81,69558,82,69558,82,69558,82,69558,81,69558,83,69078
[2025-06-28 13:05:43],4.5,11.5,86,71642,81,69558,82,69558,81,69558,81,69558,83,69558,81,69558,84,69078
[2025-06-28 13:05:46],4.5,11.4,85,71642,81,69558,81,69558,82,69558,82,69558,81,69558,82,69558,83,69078
[2025-06-28 13:05:49],4.4,11.5,86,71642,81,69558,81,69558,82,69558,82,69558,82,69558,82,69558,82,69078
[2025-06-28 13:05:52],4.4,11.5,86,71642,81,69558,81,69558,81,69558,81,69558,82,69558,82,69558,82,69078
[2025-06-28 13:05:55],4.6,11.5,85,71642,81,69558,82,69558,81,69558,81,69558,82,69558,82,69558,81,69078
[2025-06-28 13:05:58],4.8,11.5,85,71642,80,69558,80,69558,81,69558,81,69558,83,69558,81,69558,83,69078
[2025-06-28 13:06:01],4.4,11.5,84,71642,80,69558,82,69558,80,69558,81,69558,82,69558,81,69558,82,69078
[2025-06-28 13:06:04],4.6,11.5,85,71642,83,69558,82,69558,81,69558,82,69558,83,69558,83,69558,83,69078
[2025-06-28 13:06:07],4.4,11.5,85,71642,81,69558,81,69558,82,69558,81,69558,81,69558,82,69558,83,69078
[2025-06-28 13:06:10],4.8,11.5,86,71642,80,69558,81,69558,82,69558,82,69558,82,69558,81,69558,82,69078
[2025-06-28 13:06:14],4.7,11.5,83,71642,82,69558,80,69558,82,69558,82,69558,84,69558,82,69558,82,69078
[2025-06-28 13:06:17],5.0,11.5,84,71642,82,69558,82,69558,81,69558,80,69558,81,69558,81,69558,81,69078
[2025-06-28 13:06:20],4.6,11.4,84,71642,83,69558,83,69558,85,69558,82,69558,82,69558,83,69558,81,69078
[2025-06-28 13:06:22],4.6,11.4,85,71642,81,69558,80,69558,81,69558,81,69558,81,69558,83,69558,81,69078
[2025-06-28 13:06:25],4.3,11.4,85,71642,81,69558,81,69558,80,69558,81,69558,81,69558,82,69558,81,69078
[2025-06-28 13:06:27],4.8,11.4,84,71642,80,69558,82,69558,81,69558,81,69558,81,69558,82,69558,82,69078
[2025-06-28 13:06:29],4.8,11.4,85,71642,81,69558,81,69558,82,69558,80,69558,81,69558,82,69558,81,69078
[2025-06-28 13:06:31],4.6,11.5,85,71642,81,69558,80,69558,81,69558,80,69558,81,69558,81,69558,82,69078
[2025-06-28 13:06:34],4.7,11.5,86,71642,81,69558,81,69558,82,69558,81,69558,82,69558,82,69558,83,69078
[2025-06-28 13:06:36],4.3,11.5,87,71642,83,69558,83,69558,81,69558,82,69558,84,69558,82,69558,81,69078
[2025-06-28 13:06:39],4.4,11.5,86,71642,82,69558,82,69558,82,69558,82,69558,83,69558,84,69558,84,69078
[2025-06-28 13:06:42],4.3,11.4,86,71642,81,69558,80,69558,82,69558,83,69558,83,69558,82,69558,84,69078
[2025-06-28 13:06:45],4.5,11.5,86,71642,82,69558,82,69558,80,69558,79,69558,83,69558,83,69558,81,69078
[2025-06-28 13:06:47],4.6,11.4,87,71642,85,69558,85,69558,84,69558,84,69558,86,69558,87,69558,87,69078
[2025-06-28 13:06:49],4.2,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:06:50],1.3,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:06:52],5.3,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:06:55],1.3,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:06:57],1.2,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:06:59],1.5,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:07:02],1.2,11.4,0,71642,0,69558,0,69558,0,69558,0,69558,0,69558,0,69558,0,69078
[2025-06-28 13:07:05],1.5,11.5,87,71642,85,69558,86,69558,84,69558,84,69558,86,69558,87,69558,86,69078
[2025-06-28 13:07:08],5.3,11.5,87,71642,84,69558,86,69558,86,69558,85,69558,86,69558,85,69558,87,69078
[2025-06-28 13:07:10],4.7,11.5,87,71642,84,69558,85,69558,85,69558,85,69558,85,69558,86,69558,87,69078
[2025-06-28 13:07:13],4.6,11.5,87,71642,84,69558,85,69558,86,69558,84,69558,87,69558,86,69558,86,69078
[2025-06-28 13:07:17],4.6,11.5,81,71642,76,69560,82,69560,81,69560,80,69560,81,69560,81,69560,81,69080
[2025-06-28 13:07:20],4.7,11.5,86,71642,80,69560,81,69560,81,69560,81,69560,82,69560,81,69560,83,69080
[2025-06-28 13:07:22],4.8,11.5,85,71642,82,69560,80,69560,82,69560,77,69560,82,69560,83,69560,83,69080
[2025-06-28 13:07:24],5.0,11.4,85,71642,81,69560,81,69560,81,69560,80,69560,80,69560,81,69560,81,69080
[2025-06-28 13:07:27],4.9,11.5,85,71642,82,69560,82,69560,80,69560,80,69560,81,69560,82,69560,81,69080
[2025-06-28 13:07:30],4.4,11.5,85,71642,81,69560,82,69560,81,69560,82,69560,82,69560,83,69560,82,69080
[2025-06-28 13:07:33],4.5,11.5,86,71642,80,69560,81,69560,82,69560,82,69560,81,69560,81,69560,82,69080
[2025-06-28 13:07:36],18.6,11.5,86,71642,81,69560,81,69560,82,69560,82,69560,83,69560,82,69560,82,69080
[2025-06-28 13:07:39],4.6,11.5,85,71642,82,69560,82,69560,81,69560,82,69560,82,69560,83,69560,82,69080
[2025-06-28 13:07:42],4.4,11.5,86,71642,81,69560,81,69560,82,69560,82,69560,82,69560,82,69560,84,69080
[2025-06-28 13:07:45],4.4,11.5,85,71642,82,69560,81,69560,81,69560,81,69560,83,69560,82,69560,83,69080
[2025-06-28 13:07:48],4.5,11.5,86,71642,81,69560,82,69560,82,69560,72,69560,84,69560,83,69560,83,69080
[2025-06-28 13:07:51],5.0,11.5,85,71642,81,69560,81,69560,80,69560,80,69560,81,69560,81,69560,82,69080
[2025-06-28 13:07:54],4.5,11.5,84,71642,81,69560,81,69560,80,69560,82,69560,81,69560,71,69560,82,69080
[2025-06-28 13:07:57],4.4,11.5,85,71642,80,69560,82,69560,81,69560,82,69560,83,69560,81,69560,83,69080
[2025-06-28 13:08:00],4.4,11.5,85,71642,80,69560,81,69560,82,69560,81,69560,82,69560,81,69560,82,69080
[2025-06-28 13:08:03],4.6,11.5,74,71642,82,69560,80,69560,82,69560,81,69560,82,69560,82,69560,83,69080
[2025-06-28 13:08:06],4.4,11.5,84,71642,82,69560,82,69560,82,69560,81,69560,80,69560,82,69560,81,69080
[2025-06-28 13:08:09],4.7,11.5,85,71642,80,69560,80,69560,82,69560,82,69560,80,69560,82,69560,81,69080
[2025-06-28 13:08:12],4.7,11.5,70,71642,80,69560,83,69560,82,69560,82,69560,83,69560,82,69560,79,69080
[2025-06-28 13:08:15],4.5,11.5,85,71642,82,69560,81,69560,82,69560,81,69560,82,69560,83,69560,82,69080
[2025-06-28 13:08:18],4.6,11.5,86,71642,82,69560,81,69560,83,69560,75,69560,83,69560,82,69560,83,69080
[2025-06-28 13:08:21],5.6,11.5,86,71642,81,69560,81,69560,83,69560,82,69560,82,69560,82,69560,83,69080
[2025-06-28 13:08:24],4.6,11.5,87,71642,82,69560,83,69560,81,69560,83,69560,84,69560,72,69560,83,69080
[2025-06-28 13:08:27],4.7,11.5,85,71642,82,69560,82,69560,82,69560,81,69560,81,69560,83,69560,82,69080
[2025-06-28 13:08:30],4.6,11.4,86,71642,80,69560,81,69560,83,69560,82,69560,82,69560,82,69560,83,69080
[2025-06-28 13:08:32],4.8,11.4,86,71642,81,69560,81,69560,81,69560,82,69560,83,69560,82,69560,82,69080
[2025-06-28 13:08:33],4.5,11.5,86,71642,81,69560,81,69560,80,69560,82,69560,82,69560,82,69560,84,69080
[2025-06-28 13:08:36],4.4,11.5,85,71642,82,69560,82,69560,81,69560,81,69560,82,69560,82,69560,82,69080
[2025-06-28 13:08:39],4.5,11.5,86,71642,82,69560,82,69560,82,69560,81,69560,82,69560,83,69560,82,69080
[2025-06-28 13:08:41],4.4,11.5,84,71642,81,69560,81,69560,81,69560,81,69560,81,69560,81,69560,81,69080
[2025-06-28 13:08:44],4.4,11.5,86,71642,83,69560,81,69560,83,69560,83,69560,83,69560,80,69560,81,69080
[2025-06-28 13:08:47],4.4,11.5,86,71642,80,69560,82,69560,81,69560,81,69560,82,69560,81,69560,82,69080
[2025-06-28 13:08:49],4.5,11.4,85,71642,81,69560,80,69560,81,69560,80,69560,81,69560,81,69560,82,69080
[2025-06-28 13:08:52],4.9,11.4,74,71642,81,69560,79,69560,80,69560,81,69560,81,69560,81,69560,82,69080
[2025-06-28 13:08:55],4.5,11.4,77,71642,82,69560,83,69560,81,69560,77,69560,83,69560,82,69560,83,69080
[2025-06-28 13:08:56],4.7,11.4,84,71642,81,69560,81,69560,81,69560,81,69560,81,69560,82,69560,81,69080
[2025-06-28 13:08:58],4.6,11.5,84,71642,82,69560,82,69560,80,69560,82,69560,83,69560,81,69560,81,69080
[2025-06-28 13:09:01],4.8,11.5,76,71642,81,69560,81,69560,77,69560,82,69560,81,69560,82,69560,80,69080
[2025-06-28 13:09:04],4.7,11.5,84,71642,82,69560,82,69560,82,69560,81,69560,82,69560,81,69560,80,69080
[2025-06-28 13:09:07],5.3,11.5,85,71642,80,69560,82,69560,77,69560,73,69560,82,69560,82,69560,80,69080
[2025-06-28 13:09:10],4.5,11.5,20,71642,21,69560,78,69560,29,69560,18,69560,0,69560,0,69560,0,69080
[2025-06-28 13:09:14],4.7,11.5,86,71642,82,69560,82,69560,82,69560,82,69560,82,69560,82,69560,82,69080
[2025-06-28 13:09:17],5.0,11.4,85,71642,79,69560,82,69560,82,69560,82,69560,82,69560,82,69560,82,69080
